응답자특성,종합만족도,민원분야,112신고처리분야
서울중부경찰서,93.9,96.4,91.4
서울종로경찰서,92.9,96.2,89.6
서울남대문경찰서,93.3,96.6,90
서울서대문경찰서,94.2,96.8,91.6
서울혜화경찰서,94.9,97.6,92.2
서울용산경찰서,92.1,96,88.2
서울성북경찰서,93.9,96.8,91
서울동대문경찰서,94.6,97.4,91.9
서울마포경찰서,92.1,95.3,88.9
서울영등포경찰서,93.7,96.5,90.8
서울성동경찰서,93.8,96.3,91.2
서울동작경찰서,93.6,96.3,90.9
서울광진경찰서,94.1,96.9,91.3
서울서부경찰서,94.2,96.9,91.4
서울강북경찰서,94.2,97,91.3
서울금천경찰서,94,96.6,91.3
서울중랑경찰서,93.9,96.8,91
서울강남경찰서,92.9,96.7,89
서울관악경찰서,93.5,96.7,90.2
서울강서경찰서,92.6,96.1,89.1
서울강동경찰서,94.4,97.4,91.3
서울종암경찰서,93.6,96.6,90.5
서울구로경찰서,93.4,95.4,91.3
서울서초경찰서,93.1,96.1,90.1
서울양천경찰서,94.3,96.8,91.7
서울송파경찰서,93.6,97.1,90.1
서울노원경찰서,94.2,97.5,91
서울방배경찰서,94.1,97.3,90.8
서울은평경찰서,94.2,97.1,91.3
서울도봉경찰서,93.4,96.8,90
서울수서경찰서,93.3,96.6,89.9
